City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country
Guerrero Negro,63.88,78,100,15.28,27.9769,-114.0611,MX
Rikitea,77.68,79,56,16.6,-23.1203,-134.9692,PF
San Pedro del Pinatar,64.02,74,100,11.99,37.8357,-0.791,ES
Cabo San Lucas,83.05,32,20,0.0,22.8909,-109.9124,MX
Lüderitz,61.5,68,0,7.38,-26.6481,15.1594,NA
Ushuaia,31.66,86,75,16.11,-54.8,-68.3,AR
Ribeira Grande,64.29,94,100,16.51,38.5167,-28.7,PT
Dikson,23.9,92,39,8.75,73.5069,80.5464,RU
Bathsheba,81.21,65,75,15.08,13.2167,-59.5167,BB
Sitka,48.09,81,75,8.05,57.0531,-135.33,US
Lakatoro,78.4,51,100,5.46,-16.0999,167.4164,VU
Saint-Augustin,47.59,58,100,10.18,51.226,-58.6502,CA
Chui,47.86,83,0,6.4,-33.6971,-53.4616,UY
Punta Arenas,33.91,80,20,11.45,-53.15,-70.9167,CL
Bulgan,54.73,47,100,14.94,48.8125,103.5347,MN
George Town,85.82,73,20,3.85,5.4112,100.3354,MY
Thunder Bay,56.28,83,31,1.01,48.4001,-89.3168,CA
Saint-Philippe,68.34,85,44,8.16,-21.3585,55.7679,RE
Castro,49.69,52,29,1.32,-24.7911,-50.0119,BR
Longyearbyen,28.24,80,90,19.57,78.2186,15.6401,SJ
Miles City,56.37,54,1,13.8,46.4083,-105.8406,US
Grindavik,46.63,76,75,29.86,63.8424,-22.4338,IS
Geraldton,63.01,45,100,19.06,-28.7667,114.6,AU
Rongcheng,67.05,98,100,3.09,30.634,117.8517,CN
Klaksvík,47.32,89,72,17.67,62.2266,-6.589,FO
Qaqortoq,36.1,68,61,5.73,60.7167,-46.0333,GL
Albany,70.25,69,100,4.79,42.6001,-73.9662,US
Mataura,49.48,45,94,1.63,-46.1927,168.8643,NZ
Bluff,49.8,48,66,2.06,-46.6,168.3333,NZ
Hermanus,49.8,69,100,5.7,-34.4187,19.2345,ZA
Manta,73.53,89,83,8.68,-0.95,-80.7333,EC
Hilo,77.22,80,90,10.36,19.7297,-155.09,US
Mar del Plata,47.48,61,59,10.0,-38.0023,-57.5575,AR
Hobart,55.18,61,75,5.99,-42.8794,147.3294,AU
Santa Monica,73.51,67,1,4.61,34.0195,-118.4912,US
Tāybād,76.1,17,85,6.46,34.74,60.7756,IR
Thai Binh,84.2,70,49,2.91,20.45,106.3333,VN
Bengkulu,83.17,71,98,2.77,-3.8004,102.2655,ID
Saskylakh,52.77,68,99,10.63,71.9167,114.0833,RU
Puerto Ayora,74.55,90,13,5.99,-0.7393,-90.3518,EC
Yellowknife,42.26,33,20,8.05,62.456,-114.3525,CA
Acapulco de Juárez,85.82,54,90,7.81,16.8634,-99.8901,MX
Garoowe,73.67,74,35,21.88,8.4054,48.4845,SO
Shimoda,72.05,56,95,7.47,34.6667,138.95,JP
Sakakah,71.17,23,0,4.23,29.9697,40.2064,SA
Rubizhne,59.95,74,99,4.14,49.0123,38.3797,UA
Gragnano,59.22,82,67,2.55,40.6956,14.5123,IT
Port Lincoln,59.83,55,98,14.54,-34.7333,135.8667,AU
Busselton,57.04,64,89,13.18,-33.65,115.3333,AU
Norman Wells,60.84,21,75,14.97,65.282,-126.8329,CA
São Miguel do Araguaia,77.88,47,44,3.31,-13.275,-50.1628,BR
Tuatapere,49.82,55,95,1.43,-46.1333,167.6833,NZ
Thompson,26.76,74,90,9.22,55.7435,-97.8558,CA
Haines Junction,53.55,47,100,6.91,60.7522,-137.5108,CA
Fukuechō,68.36,68,0,12.66,32.6881,128.8419,JP
New Norfolk,52.84,55,100,7.0,-42.7826,147.0587,AU
Airai,72.18,54,15,5.23,-8.9266,125.4092,TL
San Miguel de Tucumán,53.6,76,0,4.21,-26.8241,-65.2226,AR
Vaini,73.56,88,90,10.36,-21.2,-175.2,TO
Karratha,75.06,43,35,20.38,-20.7377,116.8463,AU
Bethel,61.38,79,1,0.0,41.3712,-73.414,US
Provideniya,46.51,57,0,15.66,64.3833,-173.3,RU
Makakilo City,79.57,69,90,10.36,21.3469,-158.0858,US
Province of Mantua,54.32,78,20,7.0,45.1667,10.7833,IT
Kinablangan,79.97,81,100,3.38,7.6947,126.5503,PH
Port Macquarie,69.89,48,43,3.78,-31.4333,152.9167,AU
Henties Bay,62.96,81,0,6.96,-22.116,14.2845,NA
Batagay,61.95,22,100,8.05,67.6333,134.6333,RU
Kavieng,80.82,83,100,6.8,-2.5744,150.7967,PG
Northam,46.72,95,17,6.35,51.0333,-4.2167,GB
Narasannapeta,83.86,42,100,7.63,18.4167,84.05,IN
Kapaa,81.95,68,75,1.01,22.0752,-159.319,US
Kaeo,57.33,87,96,12.77,-35.1,173.7833,NZ
Norsup,78.33,51,100,5.32,-16.0667,167.3833,VU
Villa Rica,73.06,82,41,2.66,33.7321,-84.9191,US
São Filipe,73.58,75,0,10.16,14.8961,-24.4956,CV
Port Hawkesbury,52.72,67,90,1.99,45.6169,-61.3485,CA
Kushima,71.64,60,100,3.33,31.4583,131.2333,JP
Atuona,79.95,63,56,12.88,-9.8,-139.0333,PF
Dauriya,52.65,42,95,4.23,49.9333,116.8667,RU
Isiro,65.8,99,87,1.01,2.7739,27.616,CD
Charters Towers,77.25,38,84,11.01,-20.1,146.2667,AU
Richards Bay,60.46,77,100,6.98,-28.783,32.0377,ZA
São João da Barra,67.32,71,73,4.14,-21.6403,-41.0511,BR
Kostino,48.65,85,73,5.84,58.9097,53.2691,RU
Nikolskoye,48.09,88,92,7.29,59.7035,30.7861,RU
Nishihara,84.72,76,75,8.16,26.1842,127.7558,JP
Naze,61.72,67,100,4.85,28.3667,129.4833,JP
Shangrao,80.49,75,97,2.75,28.4532,117.9686,CN
Olinda,78.53,73,75,10.92,-8.0089,-34.8553,BR
Saint Paul Harbor,62.11,34,1,5.75,57.79,-152.4072,US
Caravelas,74.07,90,98,7.78,-17.7125,-39.2481,BR
Okhotsk,51.21,50,77,5.14,59.3833,143.3,RU
Cururupu,76.19,90,10,3.76,-1.8283,-44.8683,BR
Butaritari,82.2,78,100,19.17,3.0707,172.7902,KI
Lorengau,78.28,91,100,9.71,-2.0226,147.2712,PG
Siderno,66.24,82,22,13.85,38.2779,16.302,IT
La Piedad,77.63,35,84,4.38,20.35,-102.0,MX
Kaitangata,49.93,55,99,4.27,-46.2817,169.8464,NZ
Tuktoyaktuk,32.43,77,100,3.06,69.4541,-133.0374,CA
Apatou,74.91,99,100,2.28,5.155,-54.3472,GF
Antalaha,68.0,88,20,5.46,-14.9003,50.2788,MG
Leningradskiy,36.81,83,32,8.88,69.3833,178.4167,RU
Qaanaaq,29.34,72,12,6.31,77.484,-69.3632,GL
Cidreira,55.51,73,0,10.65,-30.1811,-50.2056,BR
Malmyzh,50.67,85,8,5.39,56.5205,50.6818,RU
Camacha,60.22,63,75,13.8,33.0833,-16.3333,PT
Nuuk,32.61,86,40,16.11,64.1835,-51.7216,GL
Avarua,82.45,78,40,8.05,-21.2078,-159.775,CK
Russell,75.63,78,1,4.79,32.3502,-85.1999,US
Calvinia,49.82,95,3,3.56,-31.4707,19.776,ZA
Estelle,76.42,76,75,4.61,29.8458,-90.1067,US
Cape Town,56.68,77,75,5.48,-33.9258,18.4232,ZA
Faanui,81.18,69,11,10.11,-16.4833,-151.75,PF
Muravlenko,44.4,57,99,9.75,63.7898,74.523,RU
Hithadhoo,83.8,66,100,21.56,-0.6,73.0833,MV
Riyadh,93.25,10,0,5.75,24.6877,46.7219,SA
Port Elizabeth,59.97,88,56,7.94,-33.918,25.5701,ZA
Lebedyn,55.17,92,7,6.11,50.5852,34.4849,UA
La Roda,56.55,93,13,14.23,39.2167,-2.15,ES
Sokoni,78.96,69,100,17.9,-6.4333,39.55,TZ
Lompoc,56.88,76,20,30.0,34.6391,-120.4579,US
Hūn,75.54,37,0,10.49,29.1268,15.9477,LY
Tasiilaq,37.56,90,100,41.11,65.6145,-37.6368,GL
Carnarvon,69.87,37,100,12.66,-24.8667,113.6333,AU
Naryshkino,51.44,83,26,6.82,52.9678,35.7268,RU
Kununurra,89.58,43,42,12.66,-15.7667,128.7333,AU
Clyde River,25.03,93,100,23.02,70.4692,-68.5914,CA
Svetlaya,57.54,50,74,6.24,46.5389,138.3297,RU
Tura,74.21,97,100,3.31,25.5198,90.2201,IN
Cuenca,54.59,96,100,2.8,-2.8833,-78.9833,EC
Lokoja,76.77,88,100,4.16,7.8024,6.743,NG
Linxia Chengguanzhen,64.04,33,57,2.15,35.6003,103.2064,CN
Saldanha,48.25,83,34,1.39,-33.0117,17.9442,ZA
Chapais,62.38,97,25,7.65,49.7834,-74.8492,CA
Taoudenni,96.49,18,100,15.21,22.6783,-3.9836,ML
Port-Gentil,79.84,87,100,12.84,-0.7193,8.7815,GA
Esperance,59.47,66,16,9.57,-33.8667,121.9,AU
Talnakh,25.39,91,45,13.27,69.4865,88.3972,RU
Katsuura,73.56,74,100,15.95,35.1333,140.3,JP
Beohāri,82.89,47,100,6.89,24.05,81.3833,IN
Kavaratti,83.37,74,100,16.04,10.5669,72.642,IN
Pevek,33.4,84,100,3.51,69.7008,170.3133,RU
Mahébourg,68.29,94,40,3.44,-20.4081,57.7,MU
Arraial do Cabo,68.74,62,59,4.97,-22.9661,-42.0278,BR
Mahon,54.16,82,0,3.44,39.8885,4.2658,ES
Viamão,49.78,88,0,5.97,-30.0811,-51.0233,BR
Nueve de Julio,47.82,70,61,4.14,-35.4444,-60.8831,AR
Bredasdorp,54.72,71,79,5.35,-34.5322,20.0403,ZA
Lingao,88.95,60,36,5.5,19.9103,109.6859,CN
Jamestown,72.54,68,1,5.75,42.097,-79.2353,US
Amberley,72.54,70,20,3.91,39.2048,-84.428,US
Biak,82.99,68,20,8.01,-0.9131,122.8766,ID
Adrar,84.49,18,100,14.12,20.5022,-10.0711,MR
Prince Rupert,49.98,71,75,3.44,54.3161,-130.3201,CA
Mount Gambier,54.79,63,88,11.52,-37.8333,140.7667,AU
Wuwei,69.94,18,2,16.82,37.9281,102.6414,CN
Kathmandu,66.42,100,40,2.3,27.7167,85.3167,NP
Kupang,88.38,62,40,17.27,-10.1667,123.5833,ID
Dakar,70.68,84,10,7.02,14.6937,-17.4441,SN
